GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,AquarioTest,117,248,0,0,18,53,9,14,9,14
JaCoCo Coverage Report,default,PrincipalTest,0,157,0,0,0,56,0,12,0,12
JaCoCo Coverage Report,default,Peixe,0,21,0,0,0,8,0,1,0,1
JaCoCo Coverage Report,default,Aquario,140,905,20,98,20,157,13,58,0,12
JaCoCo Coverage Report,default,Principal,3,165,0,6,1,53,1,4,1,1
